name,review_count,rating,city,zip_code,id,latitude,longitude,alias,title,price
"Tacos Mexico",88,3.0,"Los Angeles",90026,9IwD44Q0z9onNIyr6q64_g,34.082695171237,-118.259922489524,mexican,Mexican,2
Yuca's,809,4.0,"Los Angeles",90027,yyFYXpciJvklnRupotn6qw,34.10912,-118.28707,mexican,Mexican,2
"LJ’s Fish And Shrimp Taco",38,4.5,"Los Angeles",90026,SVdZ44Wdu7RXGWMdRTt8Vw,34.077734,-118.257534,tacos,Tacos,2
"Chipotle Mexican Grill",348,2.5,"Los Angeles",90017,HPdHlt__xeJzcYwBEuoWag,34.0475961269233,-118.256647185798,mexican,Mexican,2
"Market Cocina",2,2.5,"Los Angeles",90017,1ipHYtaaW3bGPDW-OJ1-Cw,34.0456943,-118.2572291,mexican,Mexican,2
"Melissa's Catering",1,5.0,"Los Angeles",90008,m5hrZ6NbPdpr-NyTs49h9w,34.00721,-118.33456,mexican,Mexican,2
"Tocaya - DTLA",309,3.5,"Los Angeles",90014,28HzNE8LVC3KZ1jKvAc8hg,34.04511,-118.25734,mexican,Mexican,2
"Los Burritos",73,3.0,"Los Angeles",90026,4YJM3Tjp5ifkEktzG8FHvg,34.0771336108446,-118.257081359625,mexican,Mexican,2
Pizzabilities,16,4.0,"Los Angeles",90071,RDhpceUhi2UZ5Rfv7gz5rA,34.0540580749512,-118.254608154297,pizza,Pizza,2
"Mayas Tacos Market",175,4.0,"Los Angeles",90026,3plBRIoQ8N3Bdlxm3jnbhw,34.0833854675293,-118.259506225586,mexican,Mexican,2
"Good Clean Fun",35,4.5,"Los Angeles",90015,IUm-XR_PcbHIARMv8HH0Zg,34.0438777,-118.2578333,wine_bars,"Wine Bars",2
"Chipotle Mexican Grill",43,3.5,"Los Angeles",90015,YGKk2m37jkpdtxf2F_ZmRA,34.042015,-118.25841,mexican,Mexican,2
"Vegana Mexicana Street Food",1,5.0,"Los Angeles",90071,p8MD5r4FQmtkrID2Yia3NQ,34.0520172119141,-118.255630493164,fooddeliveryservices,"Food Delivery Services",2
"Tacos Toluca",2,5.0,"Los Angeles",90015,iojZkvl5g6tFHEm1XkN1OA,34.03815,-118.26028,tacos,Tacos,2
"La Chuperia",205,4.5,"Los Angeles",90007,lXipm1mnODP19kdviBqn4g,34.016551,-118.281564,mexican,Mexican,2
"El Sombrero",3,3.5,"Los Angeles",90015,yYQOBuqTEewU51gRcq6mYA,34.0316620877265,-118.264451753099,mexican,Mexican,2
"K Bakery",163,4.0,"Los Angeles",90026,5oG5qtCEfBQHe1SfP_2pXg,34.066074192524,-118.254081979394,bakeries,Bakeries,2
"Sunset Mariscos",1,5.0,"West Hollywood",90069,eSqAk11PZ3AYYTevAeduXA,34.09371732678671,-118.3766457,seafood,Seafood,2
"Pinches Tacos",58,3.0,"Los Angeles",90017,CmIuXeP4Gsadd_yzXC2pog,34.048794,-118.255671,tacos,Tacos,2
"EK Valley Restaurant",422,4.5,"Culver City",90232,0AP2zk_6xVq3WHqulqK8zA,34.0313871949911,-118.378132134676,mexican,Mexican,2
"Restaurant Y Mariscos Guerrero",7,4.0,"Los Angeles",90015,BMQEzfr4wMQuwHXLR5QUSQ,34.035382269669,-118.261258900166,mexican,Mexican,2
"Happy Tacos",25,5.0,"Los Angeles",90026,GK7Tww4x8A4Xc_Nz-xTxIQ,34.0757,-118.25562,tacos,Tacos,2
"Taso Taco Taco",1,4.0,"Los Angeles",90037,PG5q4yjXxClN2gZnQPpypg,34.0106414458525,-118.292470671922,mexican,Mexican,2
"Trap Tacos",1,3.0,"Los Angeles",90015,ZLJvUD7fpVrCA6dLWacz5w,34.0314977,-118.2640295,tacos,Tacos,2
"LA Buns & Company",136,3.5,"West Hollywood",90069,YF2E9303TVt6FrDMjDvHmA,34.086437,-118.382453,burgers,Burgers,2
"Fiesta Birria",3,5.0,"Los Angeles",90015,YyCrFP9TB__rGMoyzpwbPA,34.035004110971116,-118.2612803,tacos,Tacos,2
"Mercado La Paloma",190,4.5,"Los Angeles",90007,ldjkVkY5GO9-XWN9-8mmWw,34.017639,-118.278353,latin,"Latin American",2
"Los Twins Tacos",3,4.5,"Los Angeles",90014,jtZyXp4_q3Gk91oGoN3j6A,34.04332,-118.25657,foodtrucks,"Food Trucks",2
"Jack in the Box",38,3.0,"Echo Park",90026,qa01QqMZb1r3wWSYoJAVRQ,34.08601075607527,-118.25956936066112,burgers,Burgers,2
"Taqueria Vista Hermosa",186,4.0,"Los Angeles",90007,Hj1iNlNjj7jYRQ8mYD4Cpg,34.017394,-118.278465,mexican,Mexican,2
Holbox,518,5.0,"Los Angeles",90007,-5TFq3V--bffJGW000YuGQ,34.01741823002926,-118.27843182418147,latin,"Latin American",2
"Leo’s Tacos Truck",1,4.0,"Los Angeles",90016,MkgupljOQbXZ446wNerZKg,34.0246705,-118.3734038,tacos,Tacos,2
"Grillicious Truck",32,2.5,"West Hollywood",90069,capJxVrfwLqQYLL2sOlcyA,34.0884132385254,-118.377822875977,foodtrucks,"Food Trucks",2
"5 Elementos",40,4.0,"West Hollywood",90069,oPp7adno_OqgEbzBKaS0Gw,34.09383,-118.38304,mexican,Mexican,2
"Oaxacalifornia Cafe & Juice Bar",77,4.0,"Los Angeles",90007,UX5bCQXsSUDdS3G-3WokTg,34.017444,-118.278296,juicebars,"Juice Bars & Smoothies",2
"Chichen Itza Restaurant",1296,4.5,"Los Angeles",90007,vC_6J_nGyf4J8xt-Vu6Shw,34.017358,-118.278406,mexican,Mexican,2
"LA Burrito",1,5.0,"Los Angeles",90071,sal9Bpc38--tL9BBjp93lQ,34.051468,-118.253265,mexican,Mexican,NA
"Two Hommés",2,5.0,"Leimert Park",90008,ZRTzxkpr5hJGR023LtCZ3Q,34.0053502202,-118.331701148,mexican,Mexican,NA
"Fiesta Cantina",888,3.0,"West Hollywood",90069,o3extM5pEVddGGDz2W7BkA,34.0853401,-118.3839643,mexican,Mexican,NA
"La Quesadilla Rapida",1,4.0,"Los Angeles",,KeKa9aQf7BhT7ip3sv2Yrg,34.0372528528452,-118.258999084444,foodstands,"Food Stands",NA
"Tacos Mexico",315,3.5,"Los Angeles",90015,A1z9zXowKDHLdd5eL9x-gg,34.0421380712184,-118.2565104143,mexican,Mexican,NA
"Gloria's Kitchen",1,1.0,"Los Angeles",90026,hO5hdP07uQUYW6wtetVpwg,34.0756301879883,-118.254486083984,mexican,Mexican,NA
"Pez Cantina",1,5.0,Montebello,90640,cszHXA0h88pjvSIInZFnvQ,34.05149346425365,-118.2532981,mexican,Mexican,NA
